Callsign,Relay of,Frequency,City,S/P,Country,Format,Slogan,ID,ERP-H,ERP-V,HAAT-H,HAAT-V,Lat-N,Long-W,Lang,Mode,PI Code,PS Info,Radiotext,PTY,Remarks
WWHT,,107.9,SYRACUSE,NY,USA,CONTEMPORARY HIT RADIO,HOT 107.9,57842,50,50,152,152,42-57-21,76-06-36,,HD,1F89,All The Hits for Syracuse,HOT107.9 All The Hits for Syracuse,Top 40,
KBQI,,107.9,ALBUQUERQUE,NM,USA,COUNTRY,BIG I 107.9,4706,22.5,22.5,1259,1259,35-12-43,106-26-59,,HD,144C,BIG I Title & Artist,BIG I Title & Artist,Country,
WWPH,,107.9,PRINCETON JUNCTION,NJ,USA,VARIETY,"PIRATE RADIO, KNIGHTTIME RADIO",71694,0.017,0,11,0,40-18-20,74-37-16,,,,,,,
KEZA,,107.9,FAYETTEVILLE,AR,USA,ADULT CONTEMPORARY,MAGIC 107.9,12702,99,99,384,384,35-51-12,94-01-33,,,1D1A,KEZA,Magic 107.9,Soft Rock,
WNTR,,107.9,INDIANAPOLIS,IN,USA,HOT AC,107.9 THE MIX,47143,22,22,232,232,39-53-43,86-12-04,,HD,78FB,WNTR + Commercial Ads,Commercial advertising,Adult Hits,
WBCV,,107.9,WAUSAU,WI,USA,ADULT HITS,BIG CHEESE 107.9,59608,100,100,314,314,45-03-33,89-26-10,,,5795,BIG CHEESE 107.9,BIG CHEESE 107.9,Rock,
KZRS,,107.9,GREAT BEND,KS,USA,CLASSIC HITS,CLASSIC HITS 107.9,37129,100,100,277,277,38-46-16,98-44-18,,,53D0,Classic Hits 107.9 KZRS,Title & Artist,,Also heard on KLQR-1510
WENZ,,107.9,CLEVELAND,OH,USA,URBAN CONTEMPORARY,Z-107.9,2685,16,15,272,272,41-27-54,81-17-13,,HD,A6A3,Z107.9 Artist/Title,"Z107.9 Artist/Title, Ads",Rhythm and Blues,
WCVQ,,107.9,FORT CAMPBELL,KY,USA,HOT AC,Q 108,61253,100,100,269,269,36-32-26,87-39-41,,HD,5C22,Title & Artist on Q108 | Q108 Today's Best Music,Title & Artist on Q108,Top 40,
KMLE,,107.9,CHANDLER,AZ,USA,COUNTRY,CAMEL COUNTRY 107.9,59965,96,96,529,529,33-20-03,112-03-46,,HD,A3D2,KMLE,KMLE Country 107.9 - the Valley's New Country Leader,Country,
WEBE,,107.9,WESTPORT,CT,USA,ADULT CONTEMPORARY,CONNECTICUT'S BEST MUSIC VARIETY,71389,20.5,20.5,202,202,41-16-44,73-11-08,,HD,5F56,WEBE108,WEBE108 Connecticut's Best Music Variety,Adult Hits,
WAMW-FM,,107.9,WASHINGTON,IN,USA,CLASSIC HITS,MEMORIES 107.9,25209,3,3,100,100,38-38-47,87-16-47,,,55F6,,,,
WFCA,,107.9,ACKERMAN,MS,USA,SOUTHERN GOSPEL/RELIGIOUS TEACHING,THE VOICE OF FRENCH CAMP ACADEMY,22628,100,100,307,307,33-25-25,89-24-13,,,6210,,,,FRENCH CAMP RADIO
KLTE,,107.9,KIRKSVILLE,MO,USA,RELIGIOUS TEACHING,BOTT RADIO NETWORK,66670,97,97,299,299,39-57-23,92-58-29,,,2EFE,Bott Radio Network,Leading the way - Michael Yousef,Religious Talk,
WLEY-FM,,107.9,AURORA,IL,USA,REGIONAL MEXICAN,LA LEY,71282,21,21,232,232,41-56-03,88-04-22,Spanish,,7234,LA LEY 107.9 FM,Visita laley1079.com & lamusica.com,No Program Type or Undefined,
WXKS-FM,,107.9,MEDFORD,MA,USA,CONTEMPORARY HIT RADIO,KISS 108,53965,20.5,20.5,235,235,42-20-50,71-04-59,,HD,127A,KISS 108 Boston's Hit Music! Artist/Title,KISS 108 Boston's Hit Music! Artist/Title,Top 40,
KKOL-FM,,107.9,AIEA,HI,USA,CLASSIC HITS,HONOLULU'S DECADES 107.9,70384,100,80,599,599,21-23-51,0158-06-01,,,2BDF,,,,
W300AE,WGIB 91.9,107.9,TUSCALOOSA,AL,USA,RELIGIOUS TEACHING,WHERE GOD IS BLESSING,24258,0.25,0.25,29,29,33-13-44,87-32-30,,,,,,,
K300AB,KTKU 105.1,107.9,JUNEAU,AK,USA,COUNTRY,TAKU 105,822,0,0.048,0,2,58-22-15,134-33-11,,,,,,,
K300DZ,KBTK 97.1,107.9,PRESCOTT,AZ,USA,TALK,97.1 THE BIG TALKER,41610,0.045,0.045,0,0,34-29-20,112-32-15,,,,,,,
KZRK-FM,,107.9,CANYON,TX,USA,ROCK,"ROCK 108, AMARILLO`S ROCK STATION",27009,100,100,145,145,35-13-36,102-00-26,,,53C8,107.9 Rock 108 Amarillo's Rock Station,107.9 Rock 108 Amarillo's Rock Station,Rock,
KXLT-FM,,107.9,EAGLE,ID,USA,ADULT CONTEMPORARY,107.9 LITE FM,18049,45,45,818,818,43-45-18,116-05-55,,,4DED,KXLT-FM,"The Best Variety Of The 80's, 90's, and Today on LITE FM",Adult Hits,
NEW,,107.9,ST. MICHAEL,AK,USA,,,788127,0.1,0.1,4,4,63-28-41,162-01-58,,CP-new,,,,,
KQLM,,107.9,ODESSA,TX,USA,REGIONAL MEXICAN,Q 108 LA MADRE DE TODAS,57918,100,100,323,323,32-05-11,102-17-11,Spanish,,,,,,
K300AG,KSSD 107.1,107.9,ESCALANTE,UT,USA,CONTEMPORARY HIT RADIO,SUPER ESTRELLA,19738,0.01,0.01,-10,-10,37-47-15,111-35-45,Spanish,,,,,,
WGTR,,107.9,BUCKSPORT,SC,USA,COUNTRY,GATOR 107.9,3118,20,20,239,239,33-35-45,79-03-11,,,83FB - 'WRXZ',#1 For New Country! Gator 107.9 - Song/Artist,#1 For New Country! Gator 107.9 - Song/Artist,Country,PI code currently same as WRXZ 107.1
WMUS,,107.9,MUSKEGON,MI,USA,COUNTRY,107 MUS,70635,15,15,128,128,43-16-38,86-20-05,,HD,1672,107 MUS The Moose - The Lakeshores Country,107 MUS The Moose - The Lakeshores Country,Country,
K300DY,KAHL-1310,107.9,SAN ANTONIO,TX,USA,ADULT STANDARDS,,6147,0.25,0.25,176,0,29-25-07,98-29-02,,,,,,,
W300AO,WJRZ-FM HD2,107.9,MANAHAWKIN,NJ,USA,ROCK,95.9 THE RAT,77769,0.25,0.25,98,0,39-41-54,74-14-05,,,819F,,-,,
